PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
5y;5y;0.026893;0.339300;0.000000;0.313025;
5y;10y;0.013407;0.186708;0.000000;0.295152;
10y;3m;0.009396;0.044980;0.000000;0.575741;
10y;6m;0.012075;0.102964;0.000000;0.560010;
10y;9m;0.011874;0.097389;0.000000;0.503496;
10y;1y;0.012372;0.104052;0.000000;0.413157;
10y;2y;0.015338;0.161120;0.000000;0.343050;
10y;5y;0.017177;0.221354;0.000000;0.337255;
10y;10y;0.015816;0.230736;0.000000;0.282852;
15y;3m;0.008272;0.000000;0.000000;0.693879;
15y;6m;0.008505;0.000000;0.000000;0.554636;
15y;9m;0.008473;0.000000;0.000000;0.432676;
15y;1y;0.009747;0.036059;0.000000;0.376336;
15y;2y;0.012863;0.118038;0.000000;0.373146;
15y;5y;0.017189;0.239041;0.000000;0.365017;
15y;10y;0.018003;0.285168;0.000000;0.245527;
30y;3m;0.008559;0.000000;0.000000;0.678364;
30y;6m;0.008690;0.000000;0.000000;0.547038;
30y;9m;0.008638;0.000000;0.000000;0.462506;
30y;1y;0.008723;0.000000;0.000000;0.383543;
30y;2y;0.012690;0.107572;0.000000;0.353043;
30y;5y;0.016433;0.218763;0.000000;0.356558;
30y;10y;0.019115;0.305053;0.000000;0.247742;
3y9m;2y2m;0.374634;1.000000;0.000000;0.439975;
PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.005924;0.000000;-0.300000;1.032213;
2y;6m;0.005845;0.000000;-0.300000;1.032204;
2y;9m;0.011021;0.149311;-0.300000;0.918133;
2y;1y;0.061668;0.518287;-0.300000;0.001000;
2y;2y;0.041193;0.456719;-0.300000;1.085084;
2y;5y;0.188688;0.875610;-0.300000;0.455748;
2y;10y;0.066514;0.640044;-0.300000;0.319209;
5y;3m;0.086874;0.636341;-0.300000;0.742312;
5y;6m;0.128205;0.719797;-0.300000;0.657525;
5y;9m;0.123910;0.709968;-0.300000;0.595420;
5y;1y;0.150908;0.757263;-0.300000;0.538188;
5y;2y;0.113880;0.688528;-0.300000;0.452998;
5y;5y;0.097279;0.702000;-0.300000;0.379293;
5y;10y;0.056376;0.603192;-0.300000;0.360444;
10y;3m;0.052599;0.501843;-0.300000;0.681690;
10y;6m;0.065487;0.553881;-0.300000;0.668895;
10y;9m;0.058070;0.523152;-0.300000;0.608747;
10y;1y;0.049335;0.477307;-0.300000;0.511828;
10y;2y;0.053755;0.507344;-0.300000;0.428184;
10y;5y;0.071791;0.631542;-0.300000;0.407565;
10y;10y;0.059089;0.603816;-0.300000;0.350533;
15y;3m;0.009359;0.033019;-0.300000;0.590718;
15y;6m;0.019530;0.228398;-0.300000;0.552065;
15y;9m;0.030462;0.353103;-0.300000;0.502347;
15y;1y;0.037945;0.412026;-0.300000;0.468112;
15y;2y;0.051239;0.502802;-0.300000;0.460290;
15y;5y;0.079380;0.667130;-0.300000;0.440254;
15y;10y;0.057713;0.602215;-0.300000;0.310687;
30y;3m;0.012136;0.094357;-0.300000;0.601996;
30y;6m;0.022624;0.260033;-0.300000;0.567892;
