PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.646219;1.000000;-0.872291;1.848440;
2y;6m;0.648679;1.000000;-0.808543;1.595091;
2y;9m;0.573028;1.000000;-0.712264;1.183353;
2y;1y;0.482359;1.000000;-0.487053;0.887200;
2y;2y;0.423881;1.000000;-0.492962;1.332944;
2y;5y;0.299094;1.000000;-0.365702;0.488068;
2y;10y;0.241283;1.000000;-0.482193;0.403427;
5y;3m;0.382167;1.000000;-0.431038;0.974613;
5y;6m;0.400439;1.000000;-0.422598;0.812648;
5y;9m;0.400840;1.000000;-0.445404;0.736783;
5y;1y;0.399987;1.000000;-0.433290;0.644906;
5y;2y;0.383069;1.000000;-0.483722;0.569427;
5y;5y;0.286753;1.000000;-0.460442;0.455945;
5y;10y;0.233716;1.000000;-0.478902;0.453145;
10y;3m;0.346099;1.000000;-0.514235;0.844917;
10y;6m;0.352435;1.000000;-0.498230;0.815808;
10y;9m;0.348923;1.000000;-0.516101;0.765747;
10y;1y;0.349476;1.000000;-0.547992;0.688916;
10y;2y;0.329906;1.000000;-0.545137;0.584435;
10y;5y;0.267738;1.000000;-0.474263;0.497928;
10y;10y;0.254975;1.000000;-0.491221;0.455742;
15y;3m;0.319404;1.000000;-0.653428;0.901246;
15y;6m;0.327131;1.000000;-0.609404;0.798761;
15y;9m;0.323366;1.000000;-0.579868;0.701898;
15y;1y;0.324751;1.000000;-0.568370;0.649420;
15y;2y;0.314817;1.000000;-0.533124;0.607917;
15y;5y;0.268426;1.000000;-0.454459;0.523779;
15y;10y;0.266247;1.000000;-0.512517;0.425004;
30y;3m;0.344339;1.000000;-0.647616;0.919682;
30y;6m;0.349504;1.000000;-0.607068;0.825517;
30y;9m;0.346935;1.000000;-0.595377;0.762211;
30y;1y;0.350890;1.000000;-0.616344;0.712534;
30y;2y;0.342370;1.000000;-0.564123;0.636337;
30y;5y;0.295687;1.000000;-0.489348;0.556637;
30y;10y;0.270863;1.000000;-0.507015;0.427832;
3y9m;2y2m;0.363673;1.000000;0.091060;0.516661;
PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.006292;0.000000;0.000000;0.560479;
2y;6m;0.006202;0.000000;0.000000;0.651821;
2y;9m;0.005782;0.000000;0.000000;0.723152;
